trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 1.0, 'e': 0.9940468340101831}",25,0,-106.07290283698485,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
140,False,"{'a': 1.0, 'e': 0.9939609554551797}",25,0,-214.34115988701365,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
141,False,"{'a': 1.0, 'e': 0.993874463775119}",20,0,-20.809118498506695,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
142,False,"{'a': 1.0, 'e': 0.9937873590233535}",25,0,-134.20205137392745,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
143,False,"{'a': 1.0, 'e': 0.9936996412536138}",20,0,-67.68079780876357,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
144,False,"{'a': 1.0, 'e': 0.9936113105200084}",20,0,-151.92746551835353,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
145,False,"{'a': 1.0, 'e': 0.9935223668770244}",25,0,-107.14405170471565,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
146,False,"{'a': 1.0, 'e': 0.9934328103795266}",30,0,-183.12520094888868,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
147,False,"{'a': 1.0, 'e': 0.9933426410827579}",25,0,-119.55210131603978,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
148,False,"{'a': 1.0, 'e': 0.9932518590423394}",25,0,-184.0208942140913,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
149,False,"{'a': 1.0, 'e': 0.9931604643142699}",20,0,-77.64424988579543,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 1.0, 'e': 0.9930684569549263}",25,0,-124.82869731640447,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
151,False,"{'a': 1.0, 'e': 0.9929758370210633}",20,0,-87.26792724870333,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
